claim_id, report_section                                     , claim                                                                                                                                                                                                                                                                                                                                                                                                                                     , artifact_path                                                                              , exact_locator                                                                                                                                                    , collection_time_utc , sha256             ,                                   proves                                                                                                                                                                                                                                                      , does_not_prove                                                                                                                                                                                                    , confidence, alternative_considered                                                                                                                                                                                                                                                                                                                                                   , disposition
EH6-011 , Exploit Chain Implementation                       , "SSH keypair injection via the command-injection foothold succeeded: the candidate-generated public key was written to /home/support/.ssh/authorized_keys entirely through the HTTP injection point, with no manual VM access."                                                                                                                                                                                                           , execution-transcripts/011 - ssh-key-injection.txt                                          , "terminal output: '[+] ssh key injected' followed by echoed authorized_keys content showing the injected ed25519 public key"                                     , 2026-08-01T00:11:41Z, 524EC2FC733B1C316A20C8D5715F12BF7474D362AC4F88DDF4BE45F893A0A38A, "Confirms the injection point can be used for more than read-only command execution - it can modify target filesystem state (authorized_keys) to establish a persistent, independent access method."                                                        , "Does not yet prove this access bypasses NoNewPrivileges - that is established in transcript 012."                                                                                                                , high      , "n/a"                                                                                                                                                                                                                                                                                                                                                                    , n/a
EH6-012 , Rabbit-Hole Analysis / Exploit Chain Implementation, "A direct SSH session established via the injected key is not subject to the netforge-support service's NoNewPrivileges restriction: sudo -l succeeds over SSH and lists the same (root) NOPASSWD: /usr/local/sbin/support-backup rule that was visible but non-functional from the injection foothold."                                                                                                                                  , execution-transcripts/012 - ssh-bypass-sudo-confirmation.txt                               , "STDOUT showing full sudo -l output listing support-backup rule, obtained via SSH"                                                                               , 2026-08-01T00:15:46Z, BB0AC7B6C1FAAA2444A479C100BB85498C174D8639240EFD7841A52398A3E6B0, "Directly proves the rabbit-hole precondition distinction: the sudoers rule itself was never the blocker (it is identical here), only the calling process's execution context."                                                                             , "Does not prove the tar wildcard technique itself succeeds against support-backup - that is established in transcript 014."                                                                                       , high      , "n/a"                                                                                                                                                                                                                                                                                                                                                                    , n/a
EH6-013 , Privilege Escalation Enumeration                   , "support-backup is root-owned and not world-readable (-rwxr-x---), while /srv/support/uploads is fully writable by support, confirming support controls every filename support-backup will archive as root."                                                                                                                                                                                                                              , execution-transcripts/013 - privilege-escalation-target-permissions.txt                    , "ls -la output for /usr/local/sbin/support-backup and /srv/support/uploads, obtained via SSH"                                                                    , 2026-08-01T00:27:58Z, BD71880672E8B998DEB5714F79427FDA84C12B72C8A035E6BBFD0D2D7090D613, "Establishes the precondition required for the tar wildcard/checkpoint technique (attacker-controlled directory content, elevated archiving process) without needing to read the script's actual source."                                                   , "Does not prove the script actually uses tar with an unsanitized wildcard internally - that is inferred here and confirmed behaviourally in transcript 014."                                                      , medium    , "Reading the script directly was attempted and returned Permission denied; behavioural/permission-based inference was used as the alternative."                                                                                                                                                                                                                          , n/a
EH6-014 , Exploit Chain Implementation                       , "The complete candidate-authored exploit chain succeeded end to end in a single automated run: command injection foothold, user flag retrieval, SSH key injection, and tar checkpoint privilege escalation to root, obtaining the root flag."                                                                                                                                                                                             , execution-transcripts/014 - full-chain-root-flag.txt                                       , "terminal output: '[+] root flag: UBI{A6_ROOT_2C8D5ED01A17C5D9ED235939}'"                                                                                        , 2026-08-01T00:38:49Z, 604F14039F6F34F7FB0C3BB0CEA05207B0D655858871AF6E3E85D80D2A41C5B1, "First fully automated (candidate-authored code, not manual commands) demonstration of the complete foothold-to-root chain."                                                                                                                                , "Does not prove reliability (single run) or reproducibility from a clean snapshot - see reliability.json."                                                                                                        , high      , "n/a"                                                                                                                                                                                                                                                                                                                                                                    , n/a
EH6-015 , Exploit Chain Implementation                       , "Following discovery that a restored snapshot predated the service-permission fix and B2 flag installation, recovery steps (re-applying install-assigned-flags.sh) restored a working environment, and the exploit chain was reconfirmed successful without any change to the exploit code itself."                                                                                                                                       , execution-transcripts/015 - full-chain-recovery-verification.txt                           , "terminal output showing both flags obtained after recovery procedure"                                                                                           , 2026-08-01T12:20:48Z, 58A142492F7934016FA50E89832A9C1D48C8C9993C2FF9C36BA227134FFBBE81, "Demonstrates the earlier failure was environmental (snapshot provisioning state), not a defect in the candidate-authored exploit logic, and establishes clean-vulnerable-v3 as the corrected baseline snapshot."                                           , "Does not prove the corrected snapshot is free of other undiscovered provisioning issues."                                                                                                                        , high      , "A full VM rebuild from scratch was considered as an alternative to the targeted recovery procedure; rejected as unnecessary once the specific root cause (stale snapshot) was identified."                                                                                                                                                                              , n/a
EH6-016 , Exploit Chain Implementation                       , "The individual exploit stages were consolidated into a single run_chain() wrapper function returning structured results, and executed successfully including full idempotent cleanup of all created artifacts (uploads, flag-capture file, authorized_keys entry) in 4.26 seconds."                                                                                                                                                      , execution-transcripts/016 - run-chain-complete-with-cleanup.txt                            , "JSON output: success: true, cleanup: {uploads_artifacts: true, flag_capture_file: true, authorized_keys_entry: true}"                                           , 2026-08-01T12:44:27Z, C4D3604BC8C15545FFC3D1CF62208497DC8F44E22D8B9A59002E6A97DDACD7E6, "Confirms the full chain, including cleanup, functions correctly as a single reusable function suitable for repeated reliability testing."                                                                                                                  , "Does not itself prove idempotency under repeated calls or absent-precondition handling - see cleanup-results.xml / tests/test_cleanup.py for those specific claims."                                             , high      , "An earlier cleanup ordering defect (key removed before dependent SSH steps) was identified and corrected prior to this run."                                                                                                                                                                                                                                            , n/a
EH6-017 , Reliability Testing                                , "The exploit chain succeeded in 5 out of 5 independent runs, each restoring a clean VM snapshot beforehand, with run durations ranging from 3.09s to 4.38s."                                                                                                                                                                                                                                                                              , reliability.json                                                                           , "summary object: successful_runs: 5, total_runs: 5, plus per-run success:true entries"                                                                           , 2026-08-01T13:06:23Z, BEC6D80A32A8B5B4DFFFBE9A4A03C40BE03F6C2081B8E412F56ECB5980560C2F, "Directly satisfies the '5 of 5 clean-snapshot runs' reliability acceptance criterion with machine-generated, timestamped evidence."                                                                                                                        , "Does not prove reliability under different network/load conditions beyond this single test session."                                                                                                             , high      , "An initial single-run dry test was used first to validate the automation logic (snapshot restore + health polling) before committing to the full 5-run cycle, given the significant time cost of a failed 5-run attempt."                                                                                                                                               , n/a
EH6-018 , Patch Verification                                 , "The patched target rejects the command-injection payload at the /diagnose endpoint via IP-address validation, returning a structured error rather than executing the injected command."                                                                                                                                                                                                                                                  , execution-transcripts/018 - patch1-diagnose-injection-blocked.txt                          , "curl response: {\"error\": \"'127.0.0.1; id' does not appear to be an IPv4 or IPv6 address\"}"                                                                  , 2026-08-01T13:06:23Z, 1FA98A165307AC040A09BF56347109B06EEB940EAC2A8C9CD073CC9E36F2F414, "Directly demonstrates Patch 1 blocks the exact payload that succeeded against the vulnerable target."                                                                                                                                                      , "Does not prove the fix withstands payloads not tested here, or prove it structurally (that requires the diff in patches/diagnose-endpoint.patch, see EH6-021)."                                                  , high      , "n/a"                                                                                                                                                                                                                                                                                                                                                                    , n/a
EH6-019 , Patch Verification / Negative Retest               , "The complete candidate-authored exploit chain, run unmodified against the patched target, fails at the injection-confirmation precondition and obtains neither flag, completing in 0.96 seconds."                                                                                                                                                                                                                                        , negative-retest.xml                                                                        , "pytest JUnit XML: tests=1, failures=0, errors=0 for test_injection_blocked_on_patched_target"                                                                   , 2026-08-01T13:44:23Z, B74EA396104BF9766BFE90F42EB1EF451A03617049E1F583FB6776F464DD6536, "Satisfies the negative-retest requirement using the same code that succeeds against the vulnerable target, rather than a separate/simplified test, directly proving root-cause remediation."                                                               , "Does not prove Patch 2 (tar wildcard) independently, since the chain never reaches that stage once blocked at injection - see EH6-020 for that claim."                                                           , high      , "n/a"                                                                                                                                                                                                                                                                                                                                                                    , n/a
EH6-020 , Patch Verification                                 , "The patched support-backup script's tar invocation (find + --verbatim-files-from) does not execute the checkpoint-injection hook script when presented with the identical malicious filenames that succeeded against the vulnerable script."                                                                                                                                                                                             , execution-transcripts/020 - patch2-tar-wildcard-blocked.txt                                , "terminal output: 'ls: cannot access 'proof.txt': No such file or directory' after attempting the hook trigger"                                                  , 2026-08-01T13:54:23Z, 2295656F334306ACADB6AF42429D58A3F5A7CA03A11603E40F1C23712132C784, "Directly demonstrates Patch 2 blocks the exact technique that succeeded against the vulnerable target, tested independently of the injection chain since Patch 1 already blocks that path."                                                                , "Does not prove this exhausts all possible tar-related injection techniques, only the specific checkpoint/wildcard method used in this exploit chain."                                                            , high      , "n/a"                                                                                                                                                                                                                                                                                                                                                                    , n/a
EH6-021 , Patch Diffs                                        , "Minimal, structural patch diffs were generated for both root causes: input validation + shell=False for /diagnose, and find + --verbatim-files-from for support-backup, rather than payload-specific filtering."                                                                                                                                                                                                                         , patches/diagnose-endpoint.patch and patches/support-backup.patch                           , "diff content showing removed/added lines for each fix"                                                                                                          , 2026-08-01T14:25:48Z, B2FCA46C4D22CE27DE462A3A54BFA9318D561BE95F6F8837C3B297F1945BAE83, "Provides the literal code-level evidence (not just behavioural testing) that both fixes change the vulnerable condition structurally, satisfying the 'root cause, not payload filtering' requirement."                                                     , "Does not itself prove the fixes work - that is established separately by the behavioural verification in EH6-018 through EH6-020."                                                                               , high      , "For Patch 1, redeploying a fully rewritten app.py to the live patched VM was considered and rejected as unnecessary, since a minimal diff against the existing dual-mode source satisfies the requirement without redeployment risk."                                                                                                                                   , n/a
EH6-022 , Cleanup Verification                               , "Cleanup was tested under three conditions - a normal successful run, repeated invocation against an already-clean target (idempotency, requiring SSH re-access first since cleanup revokes its own key as its last step), and invocation with no SSH key ever injected (absent precondition) - all three passing without unhandled exceptions."                                                                                          , execution-transcripts/022 - cleanup-verification.txt and cleanup-results.xml               , "pytest JUnit XML: tests=3, failures=0, errors=0"                                                                                                                , 2026-08-01T19:13:44Z, 059BF306C87C85CB945E614647987B353245F076FA8E4D2E6B17B3DA5661A6D0, "Satisfies the 'repeated cleanup' and 'absent preconditions' items from the required test scenarios."                                                                                                                                                       , "Does not prove cleanup behaves correctly under a genuine mid-cleanup interruption (e.g. network drop between individual cleanup steps) - only under a clean re-invocation."                                      , high      , "The first version of the idempotency test failed because it did not re-establish SSH access between calls; diagnosed as a test design flaw (not a cleanup logic defect) and corrected."                                                                                                                                                                                 , n/a
EH6-023 , Partial Failure and Interruption Testing / Bug Fix , "The exploit chain fails safely against an unreachable target and a simulated mid-chain interruption. The unreachable-target test initially surfaced a genuine unhandled urllib.error.URLError in _http_get (which only caught HTTPError, not connection-level failures); this was fixed by adding explicit URLError handling, verified by rerunning to a passing state, and confirmed not to affect the successful-path chain execution.", execution-transcripts/023 - partial-failure-interruption-testing.txt                       , "first-attempt failure traceback (URLError) followed by second-attempt pytest pass: tests=2, failures=0, errors=0, plus post-fix full-chain re-verification JSON", 2026-08-01T19:13:44Z, 7E2F699FB1B56A182047D96A5D22FEE2CB73D26B807A7FC3DFD00FD99A51B4FA, "Satisfies the 'partial failure' and 'interruption' test requirements, and demonstrates a genuine safe-failure defect found and fixed via the candidate's own test suite, directly satisfying the 'bounded timeouts, safe failure' engineering requirement.", "Does not prove all possible connection-failure modes are handled (e.g. DNS resolution failure was not separately isolated) - only that the general URLError class is now caught."                                , high      , "A live network interruption (physically disconnecting the VM) was considered for the interruption test and rejected as non-reproducible; unittest.mock.patch was used instead for deterministic, repeatable evidence."                                                                                                                                                  , n/a
EH6-024 , Test Suite Summary                                 , "The complete candidate-authored test suite (cleanup, negative-retest, and partial-failure/interruption tests combined) passes 6 of 6 tests with zero failures and zero errors in a single combined run."                                                                                                                                                                                                                                 , execution-transcripts/024 - combined-test-suite-summary.txt and tests/all-tests-results.xml, "pytest JUnit XML: tests=6, failures=0, errors=0"                                                                                                                , 2026-08-01T19:13:44Z, 7E2F699FB1B56A182047D96A5D22FEE2CB73D26B807A7FC3DFD00FD99A51B4FA, "Provides a single combined evidence artifact for full required test scenario coverage (repeated cleanup, absent preconditions, negative retest, partial failure, interruption) in one machine-readable report."                                            , "Does not replace the individual per-scenario claims (EH6-019, EH6-022, EH6-023) which document what each specific test proves; this row is a summary aggregate only."                                            , high      , "n/a"                                                                                                                                                                                                                                                                                                                            
